"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,1";"";"";"78,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0100";"24,7";"";"";"89,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0200";"24,6";"";"";"89,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0300";"24,2";"";"";"89,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0400";"23,9";"";"";"91,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2023";"0500";"23,9";"";"";"91,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2023";"0600";"23,5";"";"";"96,8";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2023";"0700";"23,0";"";"";"99,9";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2023";"0800";"22,6";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2023";"0900";"22,3";"";"";"99,9";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"01/01/2023";"1000";"22,9";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2023";"1100";"24,5";"";"";"93,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1200";"26,4";"";"";"80,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1300";"28,7";"";"";"67,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1400";"29,9";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1500";"30,8";"";"";"60,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1600";"31,0";"";"";"59,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1700";"29,1";"";"";"68,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"1,2"
"01/01/2023";"1800";"30,7";"";"";"63,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1900";"30,3";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"2000";"29,9";"";"";"62,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"2100";"31,4";"";"";"58,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"2200";"30,6";"";"";"63,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"2300";"28,8";"";"";"71,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2023";"0000";"27,0";"";"";"79,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2023";"0100";"26,4";"";"";"78,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2023";"0200";"25,3";"";"";"84,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2023";"0300";"24,6";"";"";"91,7";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2023";"0400";"24,0";"";"";"89,9";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2023";"0500";"23,5";"";"";"97,0";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2023";"0600";"23,0";"";"";"99,9";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
